Part Number,Condition,Low Price,Avg. Price,High Price,Total Quantity,Hits Day,HIts Week,Hits Month,Normalized_Quantity,Normalized_Searches,Market Attractiveness,Market Attractiveness Category
WS-C2960X-48TS-L,REF,300.0,472.42,980.0,91,47,266,936,0.003600144005760231,0.5454545454545454,0.7709272007243926,High Attractiveness
SFP-10G-SR-X,REF,49.0,75.25,101.5,29,85,218,930,0.0011200448017920717,0.541958041958042,0.7704189985781249,High Attractiveness
QSFP-40-100-SRBD,REF,649.0,649.0,649.0,2,50,243,930,4.000160006400256e-05,0.541958041958042,0.770959020178989,High Attractiveness
GLC-SX-MMD=,REF,20.0,28.33,45.0,77,48,185,913,0.003040121604864195,0.532051282051282,0.7645055802232089,High Attractiveness
WS-C2960X-48LPS-L-POEDE,REF,250.0,250.0,250.0,3,39,253,910,8.000320012800511e-05,0.5303030303030303,0.7651115135514511,High Attractiveness
SFP-10G-SR-X-RF,REF,877.01,877.01,877.01,16,33,153,910,0.0006000240009600385,0.5303030303030303,0.7648515031510351,High Attractiveness
WS-C2960X48TSLL-RF,REF,2489.77,2489.77,2489.77,2,42,237,902,4.000160006400256e-05,0.5256410256410257,0.7628005120204808,High Attractiveness
SFP-10G-LRM=,REF,49.0,49.0,49.0,2,39,200,887,4.000160006400256e-05,0.5168997668997669,0.7584298826498515,High Attractiveness
ISR4321-K9-RF,REF,1382.5,1382.5,1382.5,66,34,192,886,0.002600104004160167,0.5163170163170163,0.756858456156428,High Attractiveness
GLC-LH-SMD+,REF,85.0,85.0,85.0,6,46,194,878,0.0002000080003200128,0.5116550116550117,0.7557275018273458,High Attractiveness
SFP-10G-LR-S,REF,98.0,183.1,358.27,57,52,205,863,0.0022400896035841434,0.502913752913753,0.7503368316550845,High Attractiveness
GLC-SX-MMD,REF,5.0,20.04,60.0,980,39,169,851,0.03916156646265851,0.4959207459207459,0.7283795897290437,Moderate Attractiveness
ISR4331-SEC-K9,REF,812.8,1396.27,2376.0,9,68,250,850,0.0003200128005120205,0.49533799533799533,0.7475089912687417,Moderate Attractiveness
SFP-10G-SR-RF,REF,551.54,551.54,551.54,32,46,139,850,0.0012400496019840794,0.49533799533799533,0.7470489728680056,Moderate Attractiveness
C9200-48P-E,REF,3769.0,3769.0,3769.0,1,36,180,846,0.0,0.493006993006993,0.7465034965034965,Moderate Attractiveness
SFP-10G-SR=,REF,11.0,39.25,112.0,296,86,222,832,0.011800472018880756,0.48484848484848486,0.736524006414802,Moderate Attractiveness
SFP-10G-SR V03,REF,6.0,9.5,13.0,900,97,220,824,0.035961438457538304,0.4801864801864802,0.722112520864471,Moderate Attractiveness
SFP-10G-LRM,REF,49.0,96.25,130.5,64,37,193,820,0.0025201008040321615,0.47785547785547783,0.7376676885257228,Moderate Attractiveness
WS-C3560CX-8PC-S,REF,450.0,759.0,1695.0,7,49,259,812,0.00024000960038401536,0.4731934731934732,0.7364767317965446,Moderate Attractiveness
CP-8841-K9=,REF,39.99,82.76,125.54,18,37,199,791,0.0006800272010880436,0.460955710955711,0.7301378418773115,Moderate Attractiveness
